,ID,type,$b_{TSMD}$,$m_{TSMD}$,$v_{TSMD}$,$K_{TSMD}$,$\alpha_{TSMD}$,$v_{mean}$,$D_{v}$,$a_{v}$,$D_{\theta}$,$a_{\theta}$,$\tau$,$\beta$,$\alpha_{1}$,$\alpha_{2}$
0,BT01A-1,IB,-3.23,1.306,0.19,0.39,1.34,1.02,0.0,-0.01,25.56,0.0,2.131613892497019e+30,79.22,0.64,-0.68
1,BT01A-2,IB,-19.948,6.128,0.48,0.75,1.64,1.16,0.0,0.0,12.72,0.0,0.0,-10.51,1.44,-0.25
2,BT01A-3,GF,-1.572,0.609,0.14,0.14,1.45,0.94,0.0,0.01,1.32,0.01,5447.53,5.09,0.85,-0.64
3,BT01A-4,RW,-43.128,14.265,0.74,2.12,1.59,1.21,0.0,-0.0,1.79,0.01,140.46,0.56,1.79,0.35
4,BT01C-1,RW,-17.84,13.635,0.69,5.87,1.32,2.49,0.01,-0.01,0.97,0.01,1022.15,7.81,1.3,0.67
5,BT01C-2,RW,-25.86,12.311,0.68,3.6,1.41,2.36,0.01,-0.01,1.7,0.01,0.0,-36.93,1.34,0.64
6,BT01C-3,GF,-11.257,5.831,0.46,1.87,1.39,2.52,0.01,0.02,0.08,0.0,7103.58,7.46,1.35,0.2
7,BT01C-4,GF,-0.843,2.018,0.22,1.36,1.19,1.87,0.01,0.02,0.81,0.01,31252052.31,32.06,1.06,0.3
8,BT02A-1,IB,-1.187,1.299,0.08,1.01,1.06,1.68,0.0,0.01,1.21,0.04,0.0,-97.95,1.42,0.47
9,BT02A-2,WF,-56.097,23.036,0.95,5.21,1.48,2.52,0.02,-0.01,22.1,0.0,545910574.9,90.5,1.43,0.55
10,BT02A-3,IB,-16.317,5.742,0.49,0.92,1.59,2.08,0.01,0.01,441.96,0.0,27860.46,4.01,1.78,0.46
11,BT02A-4,GF,-19.712,7.162,0.52,1.38,1.51,1.8,0.01,-0.01,3.76,0.0,1120.89,6.88,1.63,0.44
12,BT02B-1,IB,-0.057,0.073,0.03,0.05,1.14,0.82,0.0,0.0,64.22,0.0,4.2117096630371e+32,42.64,0.66,-0.68
13,BT02B-2,IB,0.007,0.011,0.01,0.01,1.04,0.63,0.0,0.0,45.2,0.0,1.0461359111958449e+26,31.29,0.42,-0.7
14,BT02B-3,GF,-4.253,1.463,0.21,0.31,1.44,1.32,0.0,0.01,0.36,0.0,4959661.59,49.82,0.42,-0.58
15,BT02B-4,IB,0.132,0.09,0.03,0.1,1.09,1.15,0.0,0.0,0.85,0.0,0.0,-19.73,0.7,-0.66
16,BT03A-1,RW,-31.565,17.089,0.79,5.7,1.38,2.15,0.0,-0.0,0.06,0.0,33.95,-4.58,1.81,0.59
17,BT03A-2,GF,-6.878,3.042,0.34,0.8,1.44,1.83,0.01,0.01,0.64,0.03,10866.17,29.49,1.26,-0.02
18,BT03A-3,WF,-59.706,21.354,0.92,3.69,1.56,2.04,0.01,0.0,13.36,0.0,71.15,-0.58,1.79,0.65
19,BT03A-4,IB,-2.414,1.961,0.24,0.95,1.27,1.82,0.0,0.01,8.1,0.01,0.0,-59.06,0.95,-0.14
20,BT03B-1,GF,-1.804,0.822,0.15,0.29,1.29,0.83,0.0,0.0,1.01,0.0,2265.9,8.85,0.77,-0.68
21,BT03B-2,IB,-4.456,2.833,0.3,1.16,1.31,1.45,0.0,0.0,19.82,0.0,1849656.06,17.99,1.21,-0.57
22,BT03B-3,IB,-7.156,2.988,0.32,0.78,1.42,1.59,0.0,0.01,23.39,0.01,228.31,-1.77,1.49,-0.58
23,BT03B-4,WF,-20.155,6.824,0.51,1.08,1.57,1.47,0.0,0.0,18.17,0.0,136.69,-1.42,1.43,-0.52
24,BT04A-1,GF,-1.2,0.418,0.12,0.08,1.49,0.75,0.0,0.0,44.97,0.0,12669.05,1.81,0.83,-0.7
25,BT04A-2,GF,-1.123,0.577,0.12,0.23,1.28,1.1,0.0,0.01,2.86,0.03,236082.76,4.52,0.66,-0.64
26,BT04A-3,GF,-0.579,0.254,0.08,0.09,1.28,0.92,0.0,0.0,1.3,0.02,9107.63,1.72,0.68,-0.7
27,BT04A-4,GF,-4.633,1.841,0.25,0.44,1.45,0.96,0.0,0.0,8.87,0.0,11196.59,2.18,0.83,-0.68
28,BT04B-1,GF,-39.883,20.05,0.82,6.69,1.36,2.14,0.0,-0.0,2.12,0.0,5615.9,4.18,1.23,0.49
29,BT04B-2,GF,-20.024,8.93,0.53,2.78,1.36,2.04,0.01,-0.01,43.03,0.0,23.09,-1.65,1.78,0.55
30,BT04B-3,WF,-103.411,36.342,1.18,6.38,1.54,2.01,0.0,-0.0,3.23,0.0,1692.34,1.91,1.24,0.82
31,BT04B-4,GF,-14.567,5.525,0.45,1.15,1.49,2.02,0.01,0.01,0.22,0.0,18207101372.01,10.11,1.41,0.22
32,BT05A-1,IB,-2.851,1.169,0.2,0.31,1.41,0.92,0.0,0.01,11.84,0.01,2623.05,0.48,1.38,-0.68
33,BT05A-2,IB,0.008,0.002,-0.0,0.0,0.88,0.43,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
34,BT05A-3,IB,0.03,0.015,0.0,0.03,0.88,0.81,0.0,0.0,0.66,0.01,0.0,-32.83,0.37,-0.6
35,BT05A-4,WF,-87.313,28.063,1.06,3.71,1.63,1.4,0.0,-0.0,0.73,0.02,11.59,0.01,1.65,0.82
36,BT05B-1,RW,-41.261,19.088,0.79,5.95,1.37,2.09,0.01,-0.01,4.39,0.02,5.29,-1.22,1.47,0.66
37,BT05B-2,IB,0.183,0.013,-0.0,0.12,0.46,1.2,0.0,0.0,0.57,0.01,2139588262854.07,9.63,0.71,-0.65
38,BT05B-3,IB,0.193,0.149,0.06,0.13,1.13,1.01,0.0,0.01,3.16,0.02,225.09,0.07,0.95,-0.66
39,BT05B-4,GF,-3.554,1.881,0.17,0.9,1.16,1.35,0.0,0.0,6.93,0.0,1118.07,0.78,1.32,-0.57
40,BT06A-1,WF,-57.022,24.522,0.9,7.0,1.39,1.98,0.0,-0.0,1.45,0.0,215.74,2.84,1.34,0.86
41,BT06A-2,IB,0.016,0.004,-0.0,0.01,0.8,0.65,0.0,-0.0,39.39,0.0,2519.22,1.62,0.29,-0.7
42,BT06A-3,IB,0.005,0.0,0.0,0.0,0.69,0.32,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0
43,BT06A-4,IB,-6.993,3.152,0.32,0.92,1.38,1.49,0.0,0.01,39.9,0.0,37231.63,4.13,1.04,-0.51
44,BT06B-1,RW,-14.713,26.369,0.54,-4.08,0.0,2.43,0.0,0.0,28.05,0.0,33.16,1.52,1.49,1.13
45,BT06B-2,GF,16.006,2.842,0.18,5.45,1.08,2.3,0.01,-0.01,28.16,0.0,348.44,1.34,1.96,0.94
46,BT06B-3,RW,-10.455,12.339,0.65,6.38,1.28,2.42,0.02,-0.01,23.15,0.0,331.3,0.95,1.97,1.11
47,BT06B-4,RW,0.531,7.78,0.47,5.79,1.2,2.15,0.01,0.01,11.76,0.0,4472.82,5.05,1.59,0.78
48,BT08A-1,GF,-6.906,2.346,0.3,0.38,1.56,0.89,0.0,-0.0,7.59,0.0,16.0,-0.94,1.39,-0.3
49,BT08A-2,RW,-17.393,5.734,0.47,0.85,1.59,1.05,0.0,0.0,0.84,0.01,411.83,1.1,1.43,-0.36
50,BT08A-3,GF,-7.461,2.162,0.29,0.22,1.7,0.92,0.0,0.01,5.52,0.0,1631.3,1.53,1.49,-0.57
51,BT08A-4,IB,-0.253,0.095,0.06,0.02,1.48,0.62,0.0,0.0,0.62,0.0,2728287.36,4.0,0.68,-0.7
52,BT08B-1,GF,-38.448,19.04,0.88,5.31,1.44,2.97,0.02,-0.01,0.22,0.0,1319.49,103.22,1.34,-0.62
53,BT08B-2,IB,-22.732,9.536,0.63,2.02,1.52,2.85,0.02,0.01,0.91,0.0,0.0,-9.31,1.45,0.81
54,BT08B-3,WF,-53.276,17.866,0.86,2.51,1.62,2.46,0.01,-0.01,33.01,0.0,3.889298209291976e+26,27.15,1.4,0.56
55,BT08B-4,GF,-5.151,4.574,0.42,1.96,1.34,2.36,0.01,-0.01,53.51,0.0,3674.07,13.33,1.28,0.13
56,BT09A-1,GF,-2.364,3.061,0.27,1.91,1.2,1.33,0.0,0.0,23.78,0.01,1229.77,1.28,1.47,-0.52
57,BT09A-2,GF,-4.69,1.99,0.22,0.69,1.29,1.56,0.0,0.01,5.95,0.0,1373.57,10.62,1.69,0.21
58,BT09A-3,RW,-26.372,12.196,0.65,3.65,1.39,1.97,0.01,-0.0,49.87,0.01,44651.48,33.87,1.29,0.55
59,BT09A-4,IB,2.179,0.969,0.14,1.15,1.13,1.95,0.01,0.02,3.16,0.0,392.27,0.27,1.77,0.34
60,BT09B-1,WF,-90.37,34.287,1.11,7.45,1.47,2.35,0.01,-0.0,1.51,0.02,783.18,3.48,1.26,0.63
61,BT09B-2,GF,-7.887,2.907,0.35,0.5,1.57,1.44,0.0,0.01,4.37,0.02,11684.17,5.1,1.46,-0.37
62,BT09B-3,GF,0.877,0.655,0.0,0.97,0.96,1.79,0.0,0.01,50.5,0.0,20441232.8,14.47,1.45,0.24
63,BT09B-4,GF,-3.93,1.803,0.23,0.59,1.33,1.9,0.0,0.02,110.36,0.0,4900.9,8.63,1.71,0.32
64,BT10A-1,RW,-44.057,22.354,0.86,7.57,1.35,1.84,0.0,0.0,2.31,0.0,49.56,1.56,1.39,0.73
65,BT10A-2,GF,-13.031,6.534,0.5,1.9,1.42,1.74,0.01,0.01,0.27,0.0,32.73,-0.74,1.47,0.31
66,BT10A-3,RW,-88.778,34.283,1.14,7.29,1.49,1.84,0.0,0.0,0.54,0.0,4.37,-1.43,1.5,0.77
67,BT10A-4,RW,-14.549,7.412,0.43,2.96,1.27,1.54,0.01,-0.01,11.05,0.01,9479919559.89,4.07,1.41,-0.46
68,BT10B-1,RW,-48.37,19.215,0.88,3.98,1.51,1.97,0.01,0.0,15.27,0.03,680.05,0.55,1.56,0.48
69,BT10B-2,WF,-100.033,31.953,1.14,4.1,1.64,2.05,0.02,0.01,0.6,0.02,633.25,0.87,1.62,0.77
